k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7820102589506693,0.044349407861158936,0.6666666666666666,1.0,0.01639344262295082,279.927868852459,0.06858017291319254,2.3877083285051137,0.7839807876500084,0.28268309506502043
3,0.8649924723611033,0.03630567107739663,0.75,1.0,0.02622950819672131,404.5344262295082,0.09704199966414388,3.4553656484489945,0.867562961293594,0.24630375743323216
4,0.9019761457314014,0.030034343406563167,0.75,1.0,0.02622950819672131,528.5934426229509,0.12439249862650563,4.51536808235029,0.9051284579412925,0.21763557178153572
5,0.9220219674072654,0.027424050498952038,0.75,1.0,0.03278688524590164,651.9540983606557,0.15044437075174136,5.56535520801421,0.9251436700659192,0.19757623524341536
7,0.9451300335633356,0.02046292169493797,0.891566265060241,1.0,0.04590163934426229,897.4950819672131,0.20028267777321704,7.663645413268124,0.9464758577948054,0.1707574217143807
10,0.9606836036161488,0.018014354965000243,0.922077922077922,1.0,0.06885245901639345,1266.344262295082,0.2715556242829606,10.80610786861065,0.9621105414389544,0.14494590509801156
15,0.9759091049071617,0.014831449184115721,0.9385964912280702,1.0,0.11147540983606558,1888.3573770491803,0.38682113704908505,16.037461017943976,0.9776255000281706,0.11159900071127322
20,0.985022315406475,0.01307247887755294,0.953125,1.0,0.21639344262295082,2513.511475409836,0.4965352667389701,21.19660100794372,0.9870696940672714,0.08472479826544288
25,0.9903092320516854,0.011273543209834225,0.9594594594594594,1.0,0.4426229508196721,3146.7573770491804,0.6032100617145021,26.295456288228788,0.9928164967040397,0.06261351327026446
30,0.9929751413306199,0.009391181905447745,0.9615384615384616,1.0,0.5967213114754099,3467.1573770491805,0.6533713281407176,29.79817481340906,0.9948870358893459,0.05269565839313259
