k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.8039107704576849,0.06613865044539592,0.0625,1.0,0.02622950819672131,242.04590163934427,0.08100092889152208,2.3582167326389754,0.8078720986852783,0.2771027685930184
3,0.8702925619451602,0.06158034418196363,0.0625,1.0,0.03934426229508197,354.1311475409836,0.11142615883941108,3.4351506234629885,0.8745658172374614,0.2416313864570052
4,0.9041440831740244,0.05748500164064499,0.09375,1.0,0.04918032786885246,463.5409836065574,0.14086794038882552,4.490326109820184,0.9079370232105177,0.2149772203123079
5,0.9235555865301727,0.054037986973683595,0.125,1.0,0.05245901639344262,571.7901639344262,0.17018532848356643,5.542905460051205,0.9271952605096575,0.1954350123067002
7,0.945204184214921,0.05281473464472821,0.125,1.0,0.07213114754098361,792.5245901639345,0.22643274024935478,7.660558051457391,0.9483119623437753,0.1680129846005362
10,0.9614608771227864,0.05039275836899058,0.15625,1.0,0.10491803278688525,1135.983606557377,0.3066163644916788,10.888441090806008,0.9647622139263107,0.14031515333947167
15,0.9771482070758963,0.04461867587800728,0.25,1.0,0.1737704918032787,1717.177049180328,0.4300216189059403,16.250599139061606,0.9805875669534166,0.1046541308190404
20,0.9866362275011082,0.035548319616900775,0.40625,1.0,0.3377049180327869,2285.695081967213,0.5429764092821016,21.45943180180267,0.9893199155981172,0.07723013966521325
25,0.9909599286233508,0.028305729228976634,0.53125,1.0,0.5770491803278689,2813.72131147541,0.6432968892533515,26.360009458341697,0.993742898880052,0.05891375757266127
30,0.9937848685131488,0.022674895110460582,0.625,1.0,0.6918032786885245,3096.944262295082,0.6965775889656147,29.929578421126493,0.9954390521019315,0.050435270408988264
