k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7929513770977322,0.04201083132984175,0.6666666666666666,1.0,0.01639344262295082,301.6459016393443,0.07386496333426246,2.583010157621598,0.7949391515014931,0.2834817003466707
3,0.8681951761795105,0.03325872033117771,0.76,1.0,0.019672131147540985,437.25245901639346,0.10446899951681848,3.7408344508301115,0.8740281142599583,0.2439365670282035
4,0.9043070516941115,0.029611567128672082,0.8,1.0,0.029508196721311476,570.4032786885246,0.13338884965071915,4.8794563815087235,0.9093540481153868,0.2151999797362315
5,0.9230454580290933,0.026708387523494043,0.84,1.0,0.03278688524590164,702.8393442622951,0.16086936910526414,6.011863401179222,0.9278128345258888,0.19557404756606467
7,0.9443022264064447,0.023110172101807016,0.875,1.0,0.05245901639344262,964.7868852459017,0.21269781929316933,8.229965731436675,0.9477857907487746,0.16919679501707197
10,0.9592126300245539,0.019397376263432017,0.8979591836734694,1.0,0.06557377049180328,1355.2524590163935,0.2871810575739455,11.528103824130637,0.962990872725224,0.1433301464318778
15,0.9751591337037199,0.01614468809700152,0.9285714285714286,1.0,0.09508196721311475,2008.0983606557377,0.4070246715281075,16.988851046482008,0.9784354048115387,0.10996369265220256
20,0.9842299403770707,0.01407132728311277,0.9482758620689655,1.0,0.2,2663.098360655738,0.5208821579166469,22.362812094774593,0.9875697222378725,0.08327013697478572
25,0.9892879260166892,0.012390413373687827,0.9565217391304348,1.0,0.5311475409836065,3315.6754098360657,0.6295664702982412,27.62733827638102,0.9927178995999775,0.06321783712374521
30,0.9912977674281711,0.010739360482878792,0.9565217391304348,1.0,0.5573770491803278,3539.8,0.6627372767212877,30.75534525817958,0.9940137472533664,0.0572207166542617
