k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.09868423846167959,0.11548154542427137,0.00881057268722467,1.0,0.006557377049180328,443.527868852459,0.10030822833116071,3.7889860679713983,0.09490675531015833,0.245889020207508
3,0.14131579722795518,0.13773173687532117,0.01762114537444934,1.0,0.009836065573770493,655.6327868852459,0.1438322658907179,5.611633930192922,0.13947968899656318,0.2905407788276981
4,0.18127814492210956,0.15833663165142378,0.022222222222222223,1.0,0.013114754098360656,859.7049180327868,0.18491600892588694,7.377171337895108,0.1831582060961181,0.32379726846652956
5,0.21821531870028876,0.1745347815044778,0.025925925925925925,1.0,0.01639344262295082,1054.2622950819673,0.221771190713871,9.060238073010323,0.22311820384247,0.3470180369973353
7,0.28413371857686165,0.20203442005259215,0.040740740740740744,1.0,0.02622950819672131,1417.622950819672,0.2882860870423703,12.251676256486597,0.2974322497042087,0.37907590925310747
10,0.3702365464864445,0.23114102419057525,0.052083333333333336,1.0,0.029508196721311476,1902.1081967213115,0.3724701587339941,16.61268770217684,0.39919150374668994,0.404772044244733
15,0.4995803433098743,0.2782477351942692,0.07291666666666667,1.0,0.04590163934426229,2599.934426229508,0.48734966098142435,23.061952758235144,0.5539959997746352,0.4183713639995984
20,0.5969334226424015,0.3164863644245356,0.07291666666666667,1.0,0.05901639344262295,3225.655737704918,0.5840944030158493,28.715517565583596,0.6741999549270381,0.41515348370160293
25,0.6610451624007443,0.3368438724368455,0.07291666666666667,1.0,0.08196721311475409,3774.2852459016394,0.666561259738838,33.55017265812153,0.7460420305369316,0.40488728296581966
30,0.6947152264812188,0.3361752410434146,0.08333333333333333,1.0,0.21311475409836064,4074.839344262295,0.706390419285066,36.8487433611155,0.7718322158994873,0.39551242899367317
